time	V(n003)
1.625982527795577e-03	8.524710e-01
1.635748152795577e-03	8.661427e-01
1.645513777795577e-03	8.791869e-01
1.655279402795577e-03	8.915915e-01
1.665045027795577e-03	9.033464e-01
1.674810652795577e-03	9.144435e-01
1.684576277795577e-03	9.248767e-01
1.694341902795577e-03	9.346421e-01
1.704107527795577e-03	9.437373e-01
1.713873152795577e-03	9.521622e-01
1.723638777795577e-03	9.599184e-01
1.733404402795577e-03	9.670093e-01
1.743170027795577e-03	9.734403e-01
1.752935652795577e-03	9.792182e-01
1.772466902795577e-03	9.888518e-01
1.791998152795577e-03	9.959989e-01
1.811529402795577e-03	1.000772e+00
1.831060652795577e-03	1.003307e+00
1.850591902795577e-03	1.003756e+00
1.870123152795577e-03	1.002290e+00
1.889654402795577e-03	9.990916e-01
1.909185652795577e-03	9.943568e-01
1.928716902795577e-03	9.882880e-01
1.948248152795577e-03	9.810929e-01
1.967779402795577e-03	9.729819e-01
1.987310652795577e-03	9.641649e-01
2.016607527795576e-03	9.500672e-01
2.045904402795575e-03	9.355196e-01
2.054274938509861e-03	9.313381e-01
2.062645474224147e-03	9.272179e-01
2.071016009938432e-03	9.231591e-01
2.079386545652717e-03	9.191616e-01
2.087757081367003e-03	9.152255e-01
2.096127617081289e-03	9.113508e-01
2.104498152795574e-03	9.075373e-01
2.114263777795574e-03	9.032552e-01
2.124029402795574e-03	8.991297e-01
2.133795027795574e-03	8.951766e-01
2.143560652795573e-03	8.914105e-01
2.153326277795573e-03	8.878450e-01
2.163091902795573e-03	8.844925e-01
2.172857527795573e-03	8.813645e-01
2.182623152795572e-03	8.784713e-01
2.192388777795572e-03	8.758219e-01
2.202154402795572e-03	8.734245e-01
2.221685652795572e-03	8.694124e-01
2.241216902795571e-03	8.664770e-01
2.260748152795571e-03	8.646432e-01
2.280279402795570e-03	8.639188e-01
2.299810652795570e-03	8.642957e-01
2.319341902795570e-03	8.657500e-01
2.338873152795569e-03	8.682439e-01
2.358404402795569e-03	8.717263e-01
2.377935652795568e-03	8.761345e-01
2.397466902795568e-03	8.813950e-01
2.416998152795567e-03	8.874256e-01
2.436529402795567e-03	8.941368e-01
2.456060652795567e-03	9.014330e-01
2.485357527795566e-03	9.132546e-01
2.514654402795565e-03	9.258195e-01
2.543951277795565e-03	9.387768e-01
2.573248152795564e-03	9.517837e-01
2.651373152795562e-03	9.843184e-01
2.670904402795562e-03	9.915227e-01
2.680670027795562e-03	9.949384e-01
2.690435652795562e-03	9.982203e-01
2.700201277795561e-03	1.001362e+00
2.709966902795561e-03	1.004358e+00
2.719732527795561e-03	1.007204e+00
2.729498152795561e-03	1.009894e+00
2.739263777795561e-03	1.012424e+00
2.749029402795560e-03	1.014791e+00
2.758795027795560e-03	1.016993e+00
2.768560652795560e-03	1.019027e+00
2.778326277795560e-03	1.020890e+00
2.788091902795560e-03	1.022583e+00
2.797857527795559e-03	1.024105e+00
2.817388777795559e-03	1.026634e+00
2.836920027795559e-03	1.028485e+00
2.856451277795558e-03	1.029672e+00
2.875982527795558e-03	1.030216e+00
2.895513777795557e-03	1.030147e+00
2.915045027795557e-03	1.029500e+00
2.934576277795556e-03	1.028316e+00
2.954107527795556e-03	1.026642e+00
2.973638777795556e-03	1.024527e+00
2.993170027795555e-03	1.022024e+00
3.012701277795555e-03	1.019189e+00
3.032232527795554e-03	1.016079e+00
3.061529402795554e-03	1.011027e+00
3.090826277795553e-03	1.005682e+00
3.120123152795553e-03	1.000234e+00
3.188482527795551e-03	9.881002e-01
3.208013777795551e-03	9.849868e-01
3.217779402795550e-03	9.835134e-01
3.227545027795550e-03	9.821010e-01
3.237310652795550e-03	9.807531e-01
3.247076277795550e-03	9.794734e-01
3.256841902795550e-03	9.782649e-01
3.266607527795549e-03	9.771304e-01
3.276373152795549e-03	9.760724e-01
3.286138777795549e-03	9.750931e-01
3.295904402795549e-03	9.741942e-01
3.305670027795549e-03	9.733775e-01
3.315435652795548e-03	9.726440e-01
3.334966902795548e-03	9.714301e-01
3.354498152795548e-03	9.705564e-01
3.374029402795547e-03	9.700217e-01
3.393560652795547e-03	9.698207e-01
3.413091902795546e-03	9.699436e-01
3.432623152795546e-03	9.703768e-01
3.452154402795545e-03	9.711031e-01
3.471685652795545e-03	9.721023e-01
3.491216902795545e-03	9.733514e-01
3.510748152795544e-03	9.748249e-01
3.530279402795544e-03	9.764956e-01
3.549810652795543e-03	9.783350e-01
3.569341902795543e-03	9.803131e-01
3.598638777795542e-03	9.834745e-01
3.627935652795542e-03	9.867778e-01
3.657232527795541e-03	9.901232e-01
3.668393242081255e-03	9.913998e-01
3.679553956366969e-03	9.926521e-01
3.690714670652683e-03	9.938803e-01
3.701875384938397e-03	9.950842e-01
3.713036099224111e-03	9.962638e-01
3.724196813509825e-03	9.974192e-01
3.735357527795539e-03	9.985504e-01
3.745123152795539e-03	9.994993e-01
3.754888777795539e-03	1.000416e+00
3.764654402795539e-03	1.001299e+00
3.774420027795539e-03	1.002146e+00
3.784185652795538e-03	1.002955e+00
3.793951277795538e-03	1.003725e+00
3.803716902795538e-03	1.004453e+00
3.813482527795538e-03	1.005139e+00
3.823248152795538e-03	1.005781e+00
3.833013777795537e-03	1.006378e+00
3.842779402795537e-03	1.006930e+00
3.852545027795537e-03	1.007436e+00
3.862310652795537e-03	1.007894e+00
3.872076277795536e-03	1.008306e+00
3.891607527795536e-03	1.008987e+00
3.911138777795536e-03	1.009478e+00
3.930670027795536e-03	1.009784e+00
3.950201277795535e-03	1.009907e+00
3.969732527795535e-03	1.009856e+00
3.989263777795534e-03	1.009640e+00
4.008795027795534e-03	1.009269e+00
4.028326277795534e-03	1.008755e+00
4.047857527795533e-03	1.008113e+00
4.067388777795533e-03	1.007355e+00
4.086920027795532e-03	1.006499e+00
4.106451277795532e-03	1.005560e+00
4.135748152795531e-03	1.004030e+00
4.165045027795531e-03	1.002406e+00
4.194341902795530e-03	1.000742e+00
4.205502617081244e-03	1.000102e+00
4.216663331366958e-03	9.994730e-01
4.227824045652672e-03	9.988547e-01
4.238984759938386e-03	9.982472e-01
4.250145474224100e-03	9.976505e-01
4.261306188509814e-03	9.970646e-01
4.272466902795528e-03	9.964895e-01
4.291998152795528e-03	9.955397e-01
4.301763777795528e-03	9.950896e-01
4.311529402795528e-03	9.946575e-01
4.321295027795527e-03	9.942444e-01
4.331060652795527e-03	9.938514e-01
4.340826277795527e-03	9.934793e-01
4.350591902795527e-03	9.931289e-01
4.360357527795527e-03	9.928010e-01
4.370123152795526e-03	9.924961e-01
4.379888777795526e-03	9.922147e-01
4.389654402795526e-03	9.919574e-01
4.399420027795526e-03	9.917243e-01
4.409185652795525e-03	9.915159e-01
4.428716902795525e-03	9.911733e-01
4.448248152795525e-03	9.909299e-01
4.467779402795524e-03	9.907848e-01
4.487310652795524e-03	9.907356e-01
4.506841902795523e-03	9.907790e-01
4.526373152795523e-03	9.909105e-01
4.545904402795523e-03	9.911247e-01
4.565435652795522e-03	9.914154e-01
4.584966902795522e-03	9.917756e-01
4.604498152795521e-03	9.921975e-01
4.624029402795521e-03	9.926733e-01
4.643560652795520e-03	9.931944e-01
4.672857527795520e-03	9.940422e-01
4.702154402795519e-03	9.949431e-01
4.731451277795519e-03	9.958680e-01
4.742611992081233e-03	9.962241e-01
4.753772706366947e-03	9.965748e-01
4.764933420652661e-03	9.969199e-01
4.776094134938375e-03	9.972596e-01
4.787254849224089e-03	9.975938e-01
4.798415563509803e-03	9.979225e-01
4.809576277795517e-03	9.982457e-01
4.829107527795517e-03	9.987813e-01
4.838873152795516e-03	9.990361e-01
4.848638777795516e-03	9.992814e-01
4.858404402795516e-03	9.995165e-01
4.868170027795516e-03	9.997410e-01
4.877935652795515e-03	9.999543e-01
4.887701277795515e-03	1.000156e+00
4.897466902795515e-03	1.000346e+00
4.907232527795515e-03	1.000523e+00
4.916998152795515e-03	1.000688e+00
4.926763777795514e-03	1.000840e+00
4.936529402795514e-03	1.000979e+00
4.946295027795514e-03	1.001104e+00
4.956060652795514e-03	1.001217e+00
4.975591902795513e-03	1.001401e+00
4.995123152795513e-03	1.001531e+00
5.014654402795513e-03	1.001609e+00
5.034185652795512e-03	1.001635e+00
5.053716902795512e-03	1.001611e+00
5.073248152795511e-03	1.001541e+00
5.092779402795511e-03	1.001426e+00
5.112310652795510e-03	1.001271e+00
5.131841902795510e-03	1.001080e+00
5.151373152795510e-03	1.000856e+00
5.170904402795509e-03	1.000604e+00
5.190435652795509e-03	1.000328e+00
5.219732527795508e-03	9.998807e-01
5.249029402795508e-03	9.994065e-01
5.278326277795507e-03	9.989213e-01
5.289486992081221e-03	9.987349e-01
5.300647706366935e-03	9.985516e-01
5.311808420652649e-03	9.983714e-01
5.322969134938363e-03	9.981944e-01
5.334129849224077e-03	9.980206e-01
5.345290563509791e-03	9.978499e-01
5.356451277795505e-03	9.976823e-01
5.375982527795505e-03	9.974055e-01
