time	V(n003)
1.658614052478621e-03	1.044692e+00
1.668379677478621e-03	1.050479e+00
1.678145302478621e-03	1.055676e+00
1.687910927478621e-03	1.060304e+00
1.697676552478621e-03	1.064382e+00
1.707442177478621e-03	1.067930e+00
1.717207802478621e-03	1.070971e+00
1.726973427478621e-03	1.073525e+00
1.736739052478621e-03	1.075614e+00
1.746504677478621e-03	1.077262e+00
1.756270302478621e-03	1.078489e+00
1.766035927478621e-03	1.079319e+00
1.775801552478621e-03	1.079775e+00
1.785567177478621e-03	1.079877e+00
1.795332802478621e-03	1.079650e+00
1.805098427478621e-03	1.079113e+00
1.814864052478621e-03	1.078291e+00
1.824629677478621e-03	1.077203e+00
1.834395302478621e-03	1.075871e+00
1.853926552478621e-03	1.072556e+00
1.873457802478621e-03	1.068504e+00
1.892989052478621e-03	1.063866e+00
1.912520302478621e-03	1.058781e+00
1.932051552478621e-03	1.053379e+00
1.961348427478621e-03	1.044935e+00
1.990645302478620e-03	1.036391e+00
2.004596195335763e-03	1.032325e+00
2.018547088192906e-03	1.028382e+00
2.032497981050048e-03	1.024562e+00
2.046448873907191e-03	1.020865e+00
2.060399766764333e-03	1.017292e+00
2.074350659621476e-03	1.013843e+00
2.088301552478618e-03	1.010517e+00
2.117598427478618e-03	1.004205e+00
2.137129677478617e-03	1.000462e+00
2.156660927478617e-03	9.971057e-01
2.176192177478616e-03	9.941393e-01
2.185957802478616e-03	9.928020e-01
2.195723427478616e-03	9.915611e-01
2.205489052478616e-03	9.904155e-01
2.215254677478616e-03	9.893637e-01
2.225020302478615e-03	9.884044e-01
2.234785927478615e-03	9.875354e-01
2.244551552478615e-03	9.867547e-01
2.254317177478615e-03	9.860600e-01
2.264082802478615e-03	9.854487e-01
2.273848427478614e-03	9.849184e-01
2.283614052478614e-03	9.844660e-01
2.293379677478614e-03	9.840888e-01
2.303145302478614e-03	9.837836e-01
2.312910927478613e-03	9.835474e-01
2.322676552478613e-03	9.833771e-01
2.332442177478613e-03	9.832694e-01
2.342207802478613e-03	9.832209e-01
2.351973427478613e-03	9.832284e-01
2.361739052478612e-03	9.832886e-01
2.371504677478612e-03	9.833983e-01
2.381270302478612e-03	9.835539e-01
2.391035927478612e-03	9.837524e-01
2.410567177478611e-03	9.842650e-01
2.430098427478611e-03	9.849107e-01
2.449629677478611e-03	9.856653e-01
2.469160927478610e-03	9.865057e-01
2.488692177478610e-03	9.874104e-01
2.508223427478609e-03	9.883593e-01
2.537520302478609e-03	9.898258e-01
2.566817177478608e-03	9.912962e-01
2.580768070335750e-03	9.919918e-01
2.594718963192893e-03	9.926656e-01
2.608669856050036e-03	9.933174e-01
2.622620748907178e-03	9.939473e-01
2.636571641764321e-03	9.945552e-01
2.650522534621464e-03	9.951412e-01
2.664473427478606e-03	9.957053e-01
2.693770302478605e-03	9.967762e-01
2.723067177478605e-03	9.977044e-01
2.742598427478604e-03	9.982415e-01
2.752364052478604e-03	9.984854e-01
2.762129677478604e-03	9.987131e-01
2.771895302478604e-03	9.989245e-01
2.781660927478604e-03	9.991200e-01
2.791426552478603e-03	9.992997e-01
2.801192177478603e-03	9.994640e-01
2.810957802478603e-03	9.996132e-01
2.820723427478603e-03	9.997475e-01
2.830489052478602e-03	9.998676e-01
2.840254677478602e-03	9.999735e-01
2.850020302478602e-03	1.000066e+00
2.859785927478602e-03	1.000146e+00
2.869551552478602e-03	1.000212e+00
2.879317177478601e-03	1.000267e+00
2.889082802478601e-03	1.000311e+00
2.898848427478601e-03	1.000343e+00
2.908614052478601e-03	1.000365e+00
2.918379677478601e-03	1.000377e+00
2.928145302478600e-03	1.000379e+00
2.937910927478600e-03	1.000373e+00
2.947676552478600e-03	1.000358e+00
2.957442177478600e-03	1.000336e+00
2.967207802478600e-03	1.000307e+00
2.976973427478599e-03	1.000270e+00
2.996504677478599e-03	1.000180e+00
3.016035927478599e-03	1.000070e+00
3.035567177478598e-03	9.999427e-01
3.055098427478598e-03	9.998028e-01
3.074629677478597e-03	9.996537e-01
3.103926552478597e-03	9.994193e-01
3.133223427478596e-03	9.991807e-01
3.162520302478595e-03	9.989457e-01
3.176471195335738e-03	9.988361e-01
3.190422088192881e-03	9.987306e-01
3.204372981050023e-03	9.986292e-01
3.218323873907166e-03	9.985318e-01
3.232274766764308e-03	9.984386e-01
3.246225659621451e-03	9.983494e-01
3.260176552478593e-03	9.982643e-01
3.289473427478593e-03	9.981045e-01
3.309004677478592e-03	9.980110e-01
3.328535927478592e-03	9.979283e-01
3.338301552478592e-03	9.978909e-01
3.348067177478591e-03	9.978561e-01
3.357832802478591e-03	9.978240e-01
3.367598427478591e-03	9.977944e-01
3.377364052478591e-03	9.977673e-01
3.387129677478591e-03	9.977428e-01
3.396895302478590e-03	9.977206e-01
3.406660927478590e-03	9.977008e-01
3.416426552478590e-03	9.976832e-01
3.426192177478590e-03	9.976678e-01
3.435957802478590e-03	9.976547e-01
3.445723427478589e-03	9.976435e-01
3.455489052478589e-03	9.976344e-01
3.465254677478589e-03	9.976271e-01
3.475020302478589e-03	9.976216e-01
3.484785927478589e-03	9.976178e-01
3.494551552478588e-03	9.976157e-01
3.504317177478588e-03	9.976152e-01
3.514082802478588e-03	9.976161e-01
3.523848427478588e-03	9.976183e-01
3.533614052478587e-03	9.976218e-01
3.543379677478587e-03	9.976264e-01
3.553145302478587e-03	9.976323e-01
3.572676552478587e-03	9.976468e-01
3.592207802478586e-03	9.976647e-01
3.611739052478586e-03	9.976853e-01
3.631270302478585e-03	9.977081e-01
3.650801552478585e-03	9.977323e-01
3.680098427478584e-03	9.977706e-01
3.709395302478584e-03	9.978096e-01
3.738692177478583e-03	9.978481e-01
3.752643070335725e-03	9.978661e-01
3.766593963192868e-03	9.978834e-01
3.780544856050011e-03	9.979000e-01
3.794495748907153e-03	9.979160e-01
3.808446641764296e-03	9.979313e-01
3.822397534621439e-03	9.979459e-01
3.836348427478581e-03	9.979599e-01
3.865645302478580e-03	9.979863e-01
3.885176552478580e-03	9.980016e-01
3.904707802478580e-03	9.980153e-01
3.914473427478579e-03	9.980215e-01
3.924239052478579e-03	9.980272e-01
3.934004677478579e-03	9.980325e-01
3.943770302478579e-03	9.980375e-01
3.953535927478579e-03	9.980419e-01
3.963301552478578e-03	9.980460e-01
3.973067177478578e-03	9.980497e-01
3.982832802478578e-03	9.980530e-01
3.992598427478578e-03	9.980559e-01
4.002364052478577e-03	9.980584e-01
4.012129677478577e-03	9.980607e-01
4.021895302478577e-03	9.980626e-01
4.031660927478577e-03	9.980641e-01
4.041426552478577e-03	9.980654e-01
4.051192177478576e-03	9.980663e-01
4.060957802478576e-03	9.980670e-01
4.070723427478576e-03	9.980673e-01
4.080489052478576e-03	9.980674e-01
4.090254677478576e-03	9.980673e-01
4.100020302478575e-03	9.980670e-01
4.109785927478575e-03	9.980665e-01
4.119551552478575e-03	9.980657e-01
4.129317177478575e-03	9.980648e-01
4.148848427478574e-03	9.980625e-01
4.168379677478574e-03	9.980596e-01
4.187910927478574e-03	9.980563e-01
4.207442177478573e-03	9.980526e-01
4.226973427478573e-03	9.980487e-01
4.256270302478572e-03	9.980424e-01
4.285567177478571e-03	9.980360e-01
4.314864052478571e-03	9.980298e-01
4.328814945335714e-03	9.980268e-01
4.342765838192856e-03	9.980240e-01
4.356716731049998e-03	9.980213e-01
4.370667623907141e-03	9.980186e-01
4.384618516764284e-03	9.980161e-01
4.398569409621426e-03	9.980137e-01
4.412520302478569e-03	9.980114e-01
