Freq.	V(n003)
5.01187233627270e+03	-8.17903349252918e-03,3.67035657493583e-02
5.62341325190347e+03	-3.70348422636284e-03,2.09679746693930e-02
6.30957344480190e+03	-1.85705001798237e-03,1.27474016690228e-02
7.07945784384135e+03	-9.92477629476924e-04,8.07039953918277e-03
7.94328234724278e+03	-5.53618479934865e-04,5.25426703538671e-03
8.91250938133741e+03	-3.18260363281583e-04,3.49002021322800e-03
9.99999999999995e+03	-1.87005642138863e-04,2.35255945886284e-03
1.12201845430196e+04	-1.11681423014755e-04,1.60341699463237e-03
1.25892541179416e+04	-6.75196002699738e-05,1.10203021554443e-03
1.41253754462275e+04	-4.12043470069629e-05,7.62315706461565e-04
1.58489319246111e+04	-2.53272084774928e-05,5.29952920678081e-04
1.77827941003891e+04	-1.56552577729011e-05,3.69845936798471e-04
1.99526231496887e+04	-9.71911324734476e-06,2.58891708773411e-04
2.23872113856833e+04	-6.05445874889911e-06,1.81654286410929e-04
2.51188643150957e+04	-3.78170767031069e-06,1.27697753503384e-04
2.81838293126444e+04	-2.36710107400600e-06,8.98999056804991e-05
3.16227766016836e+04	-1.48411734687218e-06,6.33634924763671e-05
3.54813389233573e+04	-9.31730726664822e-07,4.47010004188819e-05
3.98107170553495e+04	-5.85549916842634e-07,3.15580737518128e-05
4.46683592150960e+04	-3.68294017802968e-07,2.22922163174476e-05
5.01187233627269e+04	-2.31797299542677e-07,1.57541044060970e-05
5.62341325190346e+04	-1.45964198829251e-07,1.11375823294359e-05
6.30957344480189e+04	-9.19522058476665e-08,7.87612214267359e-06
7.07945784384133e+04	-5.79454063220656e-08,5.57099253264621e-06
7.94328234724276e+04	-3.65247955519489e-08,3.94122263950794e-06
8.91250938133740e+04	-2.30274261398304e-08,2.78863372972900e-06
1.00000000000000e+05	-1.45202304045766e-08,1.97333715102960e-06
